directory,file,title,year,decade,medium,filterMedium,dimensions,filterSize,status,holder,contact,tagAbstract,tagBlackAndWhite,tagDominicanRepublic,tagFigure,tagLandscape,tagLetter,tagMonhegan,tagPath,tagRepresentational,tagSeascape,tagStillLife,tagTondo
/frances_kornbluth/images/collection/,black_and_white_collage_1.jpg,Anticipation #1,1966,1960s,Collage,Collage,"16.75 x 14""",Medium,Available,Lupine Gallery,art@lupinegallerymonhegan.com,x,x,,,,,,,,,,
/frances_kornbluth/images/collection/,interior_with_dresser.jpg,Interior with Dresser,,Undated,Acrylic on paper,Acrylic,"8 x 11""",Small,Available,Lupine Gallery,art@lupinegallerymonhegan.com,,,,,,,,,x,,x,
/frances_kornbluth/images/collection/,island_dusk_and_day.jpg,Island Dusk and Dawn,,2000s,Collage on paper,Collage,"13"" diameter",Small,Available,Lupine Gallery,art@lupinegallerymonhegan.com,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,land_sea_and_sky.jpg,"Land, Sea and Sky",,Undated,Mixed media on paper,Mixed Media,"23 x 19""",Large,Available,Lupine Gallery,art@lupinegallerymonhegan.com,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,michael's_sea.jpg,Michael's Sea,,Undated,Watercolor and ink on paper,Mixed Media,"13 x 18""",Small,Available,Lupine Gallery,art@lupinegallerymonhegan.com,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,monhegan_night_8.jpg,Monhegan Night #8 ,,1970s,Mixed media on paper,Mixed Media,"27 x 24""",Large,Available,Lupine Gallery,art@lupinegallerymonhegan.com,x,,,,,,x,,,x,,
/frances_kornbluth/images/collection/,ocean_screen_study_7.jpg,Ocean Screen Study #7,,1970s,Collage,Collage,"11 x 17.5""",Small,Available,Lupine Gallery,art@lupinegallerymonhegan.com,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,path_clearing.jpg,Path Clearing,1980,1980s,Oil on canvas,Oil,"24 x 24""",Medium,Available,Lupine Gallery,art@lupinegallerymonhegan.com,x,,,,x,,x,x,,,,
/frances_kornbluth/images/collection/,surf_and_fog.jpg,Surf and Fog,,Undated,Mixed media on paper,Mixed Media,"11 x 16""",Small,Available,Lupine Gallery,art@lupinegallerymonhegan.com,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,just_july.jpg,Just July,1987,1980s,Collage on handmade paper,Collage,"30 x 40""",Very Large,Private,Maire McArdle,,x,,,,x,,,,,,,
/frances_kornbluth/images/collection/,eventide_2.jpg,Eventide #2,1962,1960s,Oil on linen,Oil,"36 x 36""",Large,Public,Monhegan Museum,,x,,,,,,x,,,x,,
/frances_kornbluth/images/collection/,art.jpg,Art,,2000s,Collage on paper,Collage,"13"" diameter",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,at_the_shore.jpg,At the Shore,,1960s,Ink wash on paper,Ink,"17 x 14""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,x,,
/frances_kornbluth/images/collection/,beach_day.jpg,Beach Day,,1960s,Ink wash on paper,Ink,"18 x 15""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,x,,
/frances_kornbluth/images/collection/,caprice_2.jpg,Caprice II,,Undated,Mixed media on paper,Mixed Media,"18 x 12""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,,
/frances_kornbluth/images/collection/,cathedral_woods_path_2.jpg,Cathedral Woods Path #2,,1980s,Acrylic on paper,Acrylic,"10 x 10""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,x,,x,x,x,,,
/frances_kornbluth/images/collection/,cathedral_woods_path_3.jpg,Cathedral Woods Path #3,,1980s,Acrylic on paper,Acrylic,"6 x 8.5""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,x,,x,x,x,,,
/frances_kornbluth/images/collection/,cove_path.jpg,Cove Path,,1980s,Acrylic on paper,Acrylic,"8 x 7""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,x,,x,x,,,,
/frances_kornbluth/images/collection/,cove_path_2.jpg,Cove Path #2,,1980s,Acrylic on paper,Acrylic,"9 x 7""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,x,,x,x,,,,
/frances_kornbluth/images/collection/,distant_garden_2.jpg,Distant Garden #2,1988,1980s,Acrylic on linen,Acrylic,"36 x 40""",Very Large,Available,Please Inquire,kornbluthart@gmail.com,x,,,,x,,,,,,,
/frances_kornbluth/images/collection/,enclosed.jpg,Enclosed,,2000s,Collage on paper,Collage,"13"" diameter",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,evening_sky.jpg,Evening Sky,,1960s,Ink wash on paper,Ink,"24 x 18""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,x,,
/frances_kornbluth/images/collection/,fire_island_scene.jpg,Fire Island Scene,,1950s,Watercolor on paper,Watercolor,"12 x 9""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,x,,,,,,,
/frances_kornbluth/images/collection/,fish_beach_1.jpg,Fish Beach #1,,1960s,Ink wash on paper,Ink,"14 x 10.5""",Medium,Available,Please Inquire,kornbluthart@gmail.com,,x,,,x,,x,,x,,,
/frances_kornbluth/images/collection/,fish_beach_2.jpg,Fish Beach #2,,1960s,Ink wash on paper,Ink,"14 x 10.5""",Medium,Available,Please Inquire,kornbluthart@gmail.com,,x,,,x,,x,,x,,,
/frances_kornbluth/images/collection/,fog.jpg,Fog,,1960s,Watercolor on paper,Watercolor,"17 x 14""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,x,,,x,,
/frances_kornbluth/images/collection/,fog_2.jpg,Fog II,,1960s,Watercolor on paper,Watercolor,"16 x 12""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,x,,,x,,
/frances_kornbluth/images/collection/,great_south_bay.jpg,Great South Bay,,1950s,Watercolor on paper,Watercolor,"9 x 12""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,x,,,,,,,
/frances_kornbluth/images/collection/,group.jpg,Group,,Undated,Mixed media on paper,Mixed Media,"24 x 14""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,x,,x,,,,,,x,,
/frances_kornbluth/images/collection/,hand_cut_window.jpg,Hand Cut Window,,2000s,Collage on paper,Collage,"13"" diameter",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,happiness.jpg,Happiness,,2000s,Collage on paper,Collage,"13"" diameter",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,heavy_surf.jpg,Heavy Surf,,1960s,Mixed media on paper,Mixed Media,"17 x 14""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,x,,,x,,
/frances_kornbluth/images/collection/,house_2.jpg,House,1955,1950s,Watercolor on paper,Watercolor,"9 x 12""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,x,,,,,,,
/frances_kornbluth/images/collection/,intersections_2.jpg,Intersections #2,,1960s,Acrylic on paper,Acrylic,"9 x 12""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,,
/frances_kornbluth/images/collection/,island_imagery_17.jpg,Island Imagery #17,1968,1960s,Mixed media on paper,Mixed Media,"8.25 x 9.5""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,x,,,,,
/frances_kornbluth/images/collection/,island_imagery_18.jpg,Island Imagery #18,1968,1960s,Mixed media on paper,Mixed Media,"8.25 x 9.5""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,x,,,,,
/frances_kornbluth/images/collection/,island_imagery_19.jpg,Island Imagery #19,1968,1960s,Mixed media on paper,Mixed Media,"8.25 x 9.5""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,x,,,,,
/frances_kornbluth/images/collection/,island_imagery_20.jpg,Island Imagery #20,1968,1960s,Mixed media on paper,Mixed Media,"8.25 x 9.5""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,x,,,,,
/frances_kornbluth/images/collection/,island_imagery_3.jpg,Island Imagery #3,1968,1960s,Mixed media on paper,Mixed Media,"8.25 x 9.5""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,x,,,,,
/frances_kornbluth/images/collection/,island_imagery_4.jpg,Island Imagery #4,1968,1960s,Mixed media on paper,Mixed Media,"8.25 x 9.5""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,x,,,,,
/frances_kornbluth/images/collection/,island_path_11.jpg,Island Path #11,,1970s,Ink wash on paper,Ink,"17 x 14""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,x,,,,
/frances_kornbluth/images/collection/,island_path_2.jpg,Island Path #2,1977,1970s,Oil on canvas,Oil,"46 x 42""",Very Large,Available,Please Inquire,kornbluthart@gmail.com,,,,,x,,x,x,x,,,
/frances_kornbluth/images/collection/,island_path_3.jpg,Island Path #3,,1980s,Acrylic on paper,Acrylic,"9 x 12""",Small,Available,Please Inquire,kornbluthart@gmail.com,,,,,x,,x,x,x,,,
/frances_kornbluth/images/collection/,island_path_4.jpg,Island Path #4,,1980s,Acrylic on paper,Acrylic,"6 x 9""",Small,Available,Please Inquire,kornbluthart@gmail.com,,,,,x,,x,x,x,,,
/frances_kornbluth/images/collection/,letter_from_david.jpg,Letter from David,1988,1980s,Collage on paper,Collage,"10 x 14""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,x,,,,,,
/frances_kornbluth/images/collection/,letter_from_karen.jpg,Letter from Karen,1988,1980s,Collage on paper,Collage,"12 x 16""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,x,,,,,,
/frances_kornbluth/images/collection/,light_from_within.jpg,Light from Within,1996,1990s,Acrylic on masonite,Acrylic,"46 x 46""",Very Large,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,lobster_cove_light_2.jpg,Lobster Cove Light #2,1984,1980s,Acrylic on wood,Acrylic,"43.5 x 29""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,,,,x,,,,,,,
/frances_kornbluth/images/collection/,lobster_cove_suite_2.jpg,Lobster Cove Suite #2,,1980s,Acrylic on canvas,Acrylic,"67 x 48.5""",Very Large,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,x,,,x,,
/frances_kornbluth/images/collection/,message.jpg,Message,,2000s,Collage on paper,Collage,"13"" diameter",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,mixed_message_2.jpg,Mixed Message #2,,2000s,Collage on paper,Collage,"13"" diameter",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,my_candle_burns_at_both_ends.jpg,My Candle Burns at Both Ends,,2000s,Collage on paper,Collage,"13"" diameter",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,negative_sky_sea.jpg,Negative Sky and Sea,,1960s,Watercolor on paper,Watercolor,"9 x 12""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,nova.jpg,Nova,,2000s,Collage on paper,Collage,"13"" diameter",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,ocean_abstraction_1.jpg,Ocean Abstraction #1,,1960s,Ink wash on paper,Ink,"16.5 x 14""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,x,,,,,,,
/frances_kornbluth/images/collection/,ocean_abstraction_2.jpg,Ocean Abstraction #2,,1960s,Ink wash on paper,Ink,"16.5 x 14""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,x,,,,,,,
/frances_kornbluth/images/collection/,ocean_harmony_1.jpg,Ocean Harmony #1,,1970s,Watercolor on paper,Watercolor,"24 x 18""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,ocean_harmony_2.jpg,Ocean Harmony #2,,1970s,Watercolor on paper,Watercolor,"24 x 18""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,ocean_collage_with_moon.jpg,Ocean with Moon,,Undated,Collage,Collage,"13.25 x 16.25""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,opening.jpg,Opening,,2000s,Collage on paper,Collage,"13"" diameter",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,path_square_1.jpg,Path Square #1,,1970s,Watercolor on paper,Watercolor,"9.5 x 10""",Small,Available,Please Inquire,kornbluthart@gmail.com,,,,,x,,x,x,x,,,
/frances_kornbluth/images/collection/,path_square_2.jpg,Path Square #2,,1970s,Watercolor on paper,Watercolor,"9.5 x 10""",Small,Available,Please Inquire,kornbluthart@gmail.com,,,,,x,,x,x,x,,,
/frances_kornbluth/images/collection/,path_square_3.jpg,Path Square #3,,1970s,Watercolor on paper,Watercolor,"9.5 x 10""",Small,Available,Please Inquire,kornbluthart@gmail.com,,,,,x,,x,x,x,,,
/frances_kornbluth/images/collection/,pink_fog_diptych.jpg,Pink Fog Diptych,,Undated,Acrylic on paper,Acrylic,"20.2 x 20"" each",Large,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,requiem_for_charles.jpg,Requiem for Charles,,1960s,Oil on Linen,Oil,"49 x 47""",Very Large,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,rose.jpg,Rose,,2000s,Collage on paper,Collage,"13"" diameter",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,rosebud_4.jpg,Rosebud #4,1985,1980s,Collage on paper,Collage,"22.5 x 30""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,bw_seascape_10.jpg,Seascape #10,,1960s,Ink wash on paper,Ink,"9 x 12""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_11.jpg,Seascape #11,,1960s,Ink wash on paper,Ink,"9 x 12""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_12.jpg,Seascape #12,,1960s,Ink wash on paper,Ink,"12 x 9""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_13.jpg,Seascape #13,,1960s,Ink wash on paper,Ink,"14 x 11""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_14.jpg,Seascape #14,,1960s,Ink wash on paper,Ink,"14 x 11""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_15.jpg,Seascape #15,,1960s,Ink wash on paper,Ink,"14 x 11""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_16.jpg,Seascape #16,,1960s,Ink wash on paper,Ink,"12 x 9.5""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_17.jpg,Seascape #17,,1960s,Ink wash on paper,Ink,"14 x 11""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_18.jpg,Seascape #18,,1960s,Ink wash on paper,Ink,"16.5 x 14""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_19.jpg,Seascape #19,,1960s,Ink wash on paper,Ink,"16.5 x 14""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_2.jpg,Seascape #2,,1960s,Ink on paper,Ink,"12 x 9""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_22.jpg,Seascape #2,,1960s,Ink wash on paper,Ink,"15 x 17.75""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_20.jpg,Seascape #20,,1960s,Ink wash on paper,Ink,"16.5 x 14""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_21.jpg,Seascape #21,,1960s,Ink wash on paper,Ink,"17.5 x 15""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_4.jpg,Seascape #4,,1960s,Ink on paper,Ink,"12 x 9""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_5.jpg,Seascape #5,,1960s,Ink wash on paper,Ink,"12 x 9""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_6.jpg,Seascape #6,,1960s,Ink wash on paper,Ink,"12 x 9""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_7.jpg,Seascape #7,,1960s,Ink wash on paper,Ink,"9 x 12""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_8.jpg,Seascape #8,,1960s,Ink wash on paper,Ink,"9 x 12""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_9.jpg,Seascape #9,,1960s,Ink wash on paper,Ink,"9 x 12""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,seascape_collage_1.jpg,Seascape Collage #1,,Undated,Collage,Collage,"17.75 x 15""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,seated_figure_1.jpg,Seated Figure #1,,1950s,Mixed media on paper,Mixed Media,"17 x 17""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,x,,x,,,,,,,,
/frances_kornbluth/images/collection/,shore_and_sea.jpg,Shore and Sea,,Undated,Acrylic on paper,Acrylic,"9 x 12""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,x,,,x,,
/frances_kornbluth/images/collection/,shower.jpg,Shower,,2000s,Collage on paper,Collage,"13"" diameter",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,still_life_2.jpg,Still Life #2,,1950s,Watercolor on paper,Watercolor,"8.5 x 11.5""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,,,,,x,
/frances_kornbluth/images/collection/,still_life_interior.jpg,Still Life/Interior,1960,1960s,Ink on paper,Ink,"15.5 x 11.5""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,x,
/frances_kornbluth/images/collection/,summer_heat.jpg,Summer Heat,,1980s,Mixed media on Swathmore paper,Collage,"28 x 22.5""",Large,Available,Please Inquire,kornbluthart@gmail.com,x, ,,,x,,,,,,,
/frances_kornbluth/images/collection/,sunlight.jpg,Sunlight,,1970s,Mixed media on paper,Mixed Media,,Large,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,x,,,x,,
/frances_kornbluth/images/collection/,sunlight_2.jpg,Sunlight II,,1970s,Mixed media on paper,Mixed Media,,Large,Available,Please Inquire,kornbluthart@gmail.com,x,,,,x,,,,,,,
